[ROOT] Adam|First Man||Genesis 2:4-5|First Man in charge of all the animals. Falls prey to Satan's schemes and eats forbidden fruit. No natural conception but shaped from the earth.
Nimrod|Son of Cush||Genesis 10:8|"First on earth to be a mighty man"|Cush
Egypt|Son of Ham ||Genesis 10:6|Son of Ham|Ham
Ludim|Descendant of Egypt||Genesis 10:13|Descendant of Egypt|Egypt
Anamim|Descendant of Egypt||Genesis 10:13|Descendant of Egypt|Egypt
Lehabim|Descendant of Egypt||Genesis 10:13|Descendant of Egypt|Egypt
Naphtuhim|Descendant of Egypt||Genesis 10:13|Descendant of Egypt|Egypt
Pathrusim|Descendant of Egypt||Genesis 10:14|Descendant of Egypt|Egypt
Casluhim|Descendant of Egypt||Genesis 10:14|Descendant of Egypt, Patriarch/Originator of the Phillistines|Egypt
Caphtorim|Descendant of Egypt||Genesis 10:14|Descendant of Egypt|Egypt
Put|Son of Ham||Genesis 10:6|Son of Ham|Ham
Canaan|Son of Ham||Genesis 10:6|Son of Ham|Ham
Sidon|Firstborn of Canaan||Genesis 10:15|Firstborn son of Canaan|Canaan
Heth|Son of Canaan||Genesis 10:15|Son of Canaan|Canaan
Jebusites|Descendants of Heth||Genesis 10:16|Descendants of Heth|Canaan
Amorites|Descendants of Heth||Genesis 10:16|Descendants of Heth|Canaan
Girgashites|Descendants of Heth||Genesis 10:16|Descendants of Heth|Canaan
Hivites|Descendants of Canaan||Genesis 10:17|Descendants of Canaan|Canaan
Arkites|Descendants of Canaan||Genesis 10:17|Descendants of Canaan|Canaan
Sinites|Descendants of Canaan||Genesis 10:17|Descendants of Canaan|Canaan
Arvadites|Descendants of Canaan||Genesis 10:18|Descendants of Canaan|Canaan
Zemarites|Descendants of Canaan||Genesis 10:18|Descendants of Canaan|Canaan
Hamathites|Descendants of Canaan||Genesis 10:18|Descendants of Canaan|Canaan
Japheth|Son of Noah||Genesis (placeholder)|Son of Noah|Noah
Gomer|Son of Japheth||Genesis 10:2|Son of Japheth|Japheth
Ashkenaz|Son of Gomer||Genesis 10:3|Son of Gomer|Gomer
Riphath|Son of Gomer||Genesis 10:3|Son of Gomer|Gomer
Togarmah|Son of Gomer||Genesis 10:3|Son of Gomer|Gomer
Magog|Son of Japheth||Genesis 10:2|Son of Japheth|Japheth
Madai|Son of Japheth||Genesis 10:2|Son of Japheth|Japheth
Javan|Son of Japheth||Genesis 10:2|Son of Japheth|Japheth
Elishah|Son of Javan||Genesis 10:4|Son of Javan|Javan
Tarshish|Son of Javan||Genesis 10:4|Son of Javan|Javan
Kittim|Son of Javan||Genesis 10:4|Son of Javan|Javan
Rodanim|Son of Javan||Genesis 10:4|Son of Javan|Javan
Tubal|Son of Japheth||Genesis 10:2|Son of Japheth|Japheth
Meshech|Son of Japheth||Genesis 10:2|Son of Japheth|Japheth
Tiras|Son of Japheth||Genesis 10:2|Son of Japheth|Japheth
Esau|Father of Edomites||Genesis 25-36|Father of Edomites, gave away birthright to Jacob for a bowl of soup|Isaac
Eliphaz|Father of Temanites||Genesis 36:4-12|Father of Temanites, son of Esau|Esau,Adah
Amalek|Father of Amalekites||Genesis 36:12|Father of Amalekites, son of Eliphaz|Eliphaz,Timna
Teman|Father of Temanites||Genesis 36:11|Father of Temanites, son of Eliphaz|Eliphaz
Omar|Father of Omarites||Genesis 36:11|Father of Omarites, son of Eliphaz|Eliphaz
Zepho|Father of Zephoites||Genesis 36:11|Father of Zephoites, son of Eliphaz|Eliphaz
Gatam|Father of Gatamites||Genesis 36:11|Father of Gatamites, son of Eliphaz|Eliphaz
Kenaz|Father of Kenazites||Genesis 36:11|Father of Kenazites, son of Eliphaz|Eliphaz
Reuel|Father of Reuelites||Most of the stories found in Genesis|Father of Reuelites, son of Esau|Esau,Basemath
Nahath|Father of Nahathites||Genesis 36:13|Father of Nahathites, son of Reuel|Reuel
Zerah|Father of Zerahites||Genesis 36:13|Father of Zerahites, son of Reuel|Reuel
Shammah|Father of Shammahites||Genesis 36:13|Father of Shammahites, son of Reuel|Reuel
Mizzah|Father of Mizzahites||Genesis 36:13|Father of Mizzahites, son of Reuel|Reuel
Jeush|Father of Jeushites||Genesis 36:5|Father of Jeushites, son of Esau and Oholibamah|Esau,Oholibamah
Jalam|Father of Jalmites||Genesis 36:5|Father of Jalmites, son of Esau and Oholibamah|Esau,Oholibamah
Korah|Father of Korahites||Genesis 36:5|Father of Korahites, son of Esau and Oholibamah|Esau,Oholibamah
Jacob|Patriarch of Israel||Genesis 25-50|Father of Israel, given new name by God meaning 'to struggle with God'|Isaac
Reuben|Patriarch of Reuben Tribe||Genesis 29-50|Most of stories found in Genesis, son of Jacob/Israel eldest son of 12|Jacob,Leah
Hanoch|Father of Hanochites||Genesis 46:9|Father of Hanochites, son of Reuben|Reuben
Pallu|Father of Palluites||Genesis 46:9|Father of Palluites, son of Reuben|Reuben
Hezron|Father of Hezronites||Genesis 46:9|Father of Hezronites, son of Reuben|Reuben
Carmi|Father of Carmites||Genesis 46:9|Father of Carmites, son of Reuben|Reuben
Simeon|Patriarch of Simeon Tribe||Genesis 29-50|Most of stories found in Genesis, son of Jacob/Israel second born son of 12|Jacob,Leah
Jemuel|Father of Jemuelites||Genesis 46:10|Father of Jemuelites, son of Simeon|Simeon
Jamin|Father of Jaminites||Genesis 46:10|Father of Jaminites, son of Simeon|Simeon
Ohad|Father of Ohadites||Genesis 46:10|Father of Ohadites, son of Simeon|Simeon
Jachin|Father of Jachinites||Genesis 46:10|Father of Jachinites, son of Simeon|Simeon
Zohar|Father of Zoharites||Genesis 46:10|Father of Zoharites, son of Simeon|Simeon
Shaul|Father of Shaulites||Genesis 46:10|Father of Shaulites, son of Simeon (Seems to be a note about Shaul possibly not having same mother as siblings see Genesis 46:10)|Simeon
Levi|Patriarch of Levi Tribe||Genesis 29-50|Most of stories found in Genesis, son of Jacob/Israel third born son of 12|Jacob,Leah
Gershon|Father of Gershonites||Genesis 46:11|Father of Gershonites, son of Levi|Levi
Kohath|Father of Kohathites||Genesis 46:11|Father of Kohathites, son of Levi|Levi
Merari|Father of Merarites||Genesis 46:11|Father of Merarites, son of Levi|Levi
Judah|Patriarch of Judah Tribe||Genesis 29-50|Most of stories found in Genesis, son of Jacob|Jacob,Leah
Er|Father of Erathites||Genesis 38:3|Father of Erathites, son of Judah and Shua|Judah,Shua's Daughter
Onan|Father of Onanites||Genesis 38:4|Father of Onanites, son of Judah and Shua|Judah,Shua's Daughter
Shelah|Father of Shelanites||Genesis 38:5|Father of Shelanites, son of Judah and Shua|Judah,Shua's Daughter
Perez|Father of Perezites||Genesis 38:29|Father of Perezites, son of Judah and Tamar, Twin of Zerah, Line of Jesus|Judah,Tamar
Hezron|Perezite||Genesis 46:12|son of Perez|Perez
Hamul|Perezite||Genesis 46:12|son of Perez|Perez
Zerah|Father of Zerahites||Genesis 38:30|Father of Zerahites, son of Judah and Tamar, Twin of Perez|Judah,Tamar
Dan|Patriarch of Dan Tribe||Genesis 29-50|Most of stories found in Genesis, son of Jacob/Israel 4th born son of 12 given to him by Bilhah servant of Rachel|Jacob,Bilhah
Hushim|Danite||Genesis 46:23|son of Dan|Dan
Naphtali|Patriarch of Naphtali Tribe||Genesis 29-50|Most of stories found in Genesis, son of Jacob/Israel 5th born son of 12 second given by Bilhah servant of Rachel|Jacob
Jahzeel|Naphtalite||Genesis 46:24|son of Naphtali|Naphtali
Guni|Naphtalite||Genesis 46:24|son of Naphtali|Naphtali
Jezer|Naphtalite||Genesis 46:24|son of Naphtali|Naphtali
Shillem|Naphtalite||Genesis 46:24|son of Naphtali|Naphtali
Gad|Patriarch of Gad Tribe||Genesis 29-50|Most of stories found in Genesis, son of Jacob/Israel 6th born son of 12 given by Zilpah servant of Leah|Jacob,Zilpah
Ziphion|Gadite||Genesis 46:16|son of Gad|Gad
Haggi|Gadite||Genesis 46:16|son of Gad|Gad
Shuni|Gadite||Genesis 46:16|son of Gad|Gad
Ezbon|Gadite||Genesis 46:16|son of Gad|Gad
Eri|Gadite||Genesis 46:16|son of Gad|Gad
Arodi|Gadite||Genesis 46:16|son of Gad|Gad
Areli|Gadite||Genesis 46:16|son of Gad|Gad
